Company,Position,Connected On
Alexandria University,Student,26 Jun 2023
Al-Azhar University,I am Student at Al_Azhar University ,18 Jun 2023
,,18 Jun 2023
,,18 Jun 2023
El-Shorbagy Trading & Construction Supplies,Data Analyst,16 Apr 2023
Abdullah Al-Othaim Markets,Financial Reporting Analyst,31 Mar 2023
Freelance,Artificial Intelligence Engineer,31 Mar 2023
Xceed,Customer Service Agent,31 Mar 2023
Arrow Electronics,Compliance Engineer,31 Mar 2023
,,18 Mar 2023
Enactus Azhar university,Project Management Specialist,18 Mar 2023
DevGate Consultancy,Business Intelligence Developer,08 Mar 2023
Valeo,Business Intelligence Developer,08 Mar 2023
,,08 Mar 2023
Al-Azhar University,Student,08 Mar 2023
Nishat Linen,Administrative Assistant,27 Feb 2023
,,27 Feb 2023
Freelancer,Data Analyst,27 Feb 2023
,,27 Feb 2023
Smart Sense Co. LTD,Data Analyst,27 Feb 2023
Information Technology Institute (ITI),Web Developer(front-End),27 Feb 2023
,,27 Feb 2023
,,27 Feb 2023
CodeClause,Data Scientist,27 Feb 2023
University of Medical Science and Technology,Assistant Dean of the Graduate College,27 Feb 2023
Demo care,Data Analyst,27 Feb 2023
Breadfast,Data Analyst,27 Feb 2023
IPSC-international packing and service company,Relationship Manager,27 Feb 2023
Information Technology Institute (ITI),Iti Summer trainee,27 Feb 2023
Fiverr Freelancers ,"Data Entry,Lead Generation",27 Feb 2023
The Sparks Foundation,Data Science & Business Analytics,27 Feb 2023
Coursera,Data Analyst,27 Feb 2023
Fidelity United,Associate Underwriter,27 Feb 2023
,,27 Feb 2023
,,27 Feb 2023
,,27 Feb 2023
Freelancer.com,Data Analyst,27 Feb 2023
,,27 Feb 2023
NajahNow,Computer Vision and NLP Engineer,27 Feb 2023
Lord International,Accountant and data analyst,27 Feb 2023
,,27 Feb 2023
,,27 Feb 2023
,,27 Feb 2023
Microsoft,Microsoft Certified azure AI fundamentals,27 Feb 2023
,,27 Feb 2023
,,27 Feb 2023
,,27 Feb 2023
Pluralsight,ITI Data Analytics & Visualization Specialist,27 Feb 2023
ACM MU,Instructor,09 Feb 2023
,,13 Jan 2023
The SaaS Shop,Data Analyst,12 Jan 2023
Convertedin,Junior Business Intelligence Developer ,10 Jan 2023
,,10 Jan 2023
هايبر الماسه,مدير هايبر الماسه,10 Jan 2023
,,07 Jan 2023
Elziny Co.,Sales Employee,07 Jan 2023
Capiter,Head of Data Science ,07 Jan 2023
Excel Systems,Technical Support Engineer,07 Jan 2023
Upwork,Data Analyst,07 Jan 2023
Hamwi L.T.D.,Data Analyst,07 Jan 2023
10Alytics,Data Analyst,07 Jan 2023
Tatbeek,Business Intelligence Analyst,07 Jan 2023
Orange Business Services,Big Data Engineer,07 Jan 2023
,,07 Jan 2023
عمل مستقل,Data Analyst,07 Jan 2023
,,07 Jan 2023
Wolfio,Project Manager,07 Jan 2023
Air Cairo,Traffic Officer,07 Jan 2023
iNeuron.ai,Data Scientist | Data Analyst,07 Jan 2023
SDG Group Middle East,Finance & Data Analytics,07 Jan 2023
SHAI For AI | شاي للذكاء الاصطناعي,Data Scientist Trainee,07 Jan 2023
,,07 Jan 2023
,,21 Dec 2022
Modern University for Technology & Information (MTI),Bioinformatician at  Innovative Research Grant MTI 2022,21 Dec 2022
Orange Innovation Egypt,Data Scientist,21 Dec 2022
,,21 Dec 2022
Remotasks,Content Reviewer,21 Dec 2022
,,21 Dec 2022
Synapse Analytics,Data Scientist,21 Dec 2022
Huawei,Data Analytics & Automation Engineer ,21 Dec 2022
Confidential,Human Resources Analyst,21 Dec 2022
Freelance,Data Analyst,21 Dec 2022
Raya CX,MIS Analyst,21 Dec 2022
,,21 Dec 2022
LivingPath,Head of Operations,21 Dec 2022
,,21 Dec 2022
Freelance,Python Developer,21 Dec 2022
,,21 Dec 2022
,,21 Dec 2022
,,21 Dec 2022
"Al Deyaa Group, Etisalat Business Partner",Data Analyst,21 Dec 2022
Komari Beverage,Sales Data Analyst ,21 Dec 2022
,,21 Dec 2022
Jump Animation,Data Analyst,21 Dec 2022
Digital Hub,Data Analyst,21 Dec 2022
Jai Shree Trading Company Pvt. Ltd.,Senior Data Analyst,21 Dec 2022
The Address Investments,Senior IT Specialist,21 Dec 2022
PaySky,Operational Specialist,21 Dec 2022
,,21 Dec 2022
Freelance,Data Analyst,21 Dec 2022
Codora,Full Stack BlockChain Developer ,21 Dec 2022
Micro Engineering Tech Inc,Data labeler ,21 Dec 2022
شغل أون لاين,مترجم حر,21 Dec 2022
Elrazy Pharmaceuticals Co.,Quality Assurance Specialist,21 Dec 2022
United integrated solution,Database Management Specialist,21 Dec 2022
Freelance,Data Analyst,21 Dec 2022
Dsquares,Software Engineer,21 Dec 2022
MeDecibel,Machine Learning Engineer,21 Dec 2022
Freelancer.com,Data Analyst,21 Dec 2022
,,21 Dec 2022
,,21 Dec 2022
Direct Arabia,Marketing Manager,21 Dec 2022
Huawei,Social Media Manager,21 Dec 2022
El Shorouk Academy,Teaching Assistant,21 Dec 2022
Stella Di Mare Hotels Ain Sokhna,Information Technology Specialist,21 Dec 2022
sharm nice day,Accountant,21 Dec 2022
Grand IT Solutions ,Technical Consultant,21 Dec 2022
,,21 Dec 2022
Nestlé,Youth influencer,21 Dec 2022
alShorouk,Document Controller,21 Dec 2022
Azhar Dream,Vice Head of Statistics Committee ,21 Dec 2022
Information Technology Institute (ITI),ITI Trainee,21 Dec 2022
SDK Training Center,Ai Trainer ,21 Dec 2022
alx_africa ,Scholarship,21 Dec 2022
,,17 Nov 2022
,,17 Nov 2022
Business Fluence,Social Media Specialist,17 Nov 2022
Techno Space,Flutter developer ,17 Nov 2022
Femex For Import,Senior Sales Executive,17 Nov 2022
Creativity Point,Artificial Intelligence Specialist,16 Nov 2022
Al Nasiriyah  lilmuqawalat,construction workers supervisor,15 Nov 2022
,,15 Nov 2022
Egypt Gold,Senior Production Engineer,15 Nov 2022
Raqameyyah Digital Consultancy,Data Analyst Intern,14 Nov 2022
,,14 Nov 2022
