From,Sent At,Direction
Mostafa Elnagar,"6/26/23, 9:38 AM",OUTGOING
-2616114961314326090,"6/22/23, 7:41 AM",INCOMING
-8780271348340485960,"6/20/23, 6:48 AM",INCOMING
-2182615879561661594,"6/1/23, 9:14 AM",INCOMING
7334762573825459576,"5/26/23, 5:40 AM",INCOMING
8221519285886542455,"5/25/23, 1:14 PM",INCOMING
6278678189944937177,"4/11/23, 2:36 AM",INCOMING
6455891066276912325,"3/27/23, 8:07 AM",INCOMING
447387372909662112,"3/23/23, 10:31 AM",INCOMING
-6208673658253329621,"3/20/23, 3:17 AM",INCOMING
-8727967889047543515,"3/18/23, 10:10 AM",INCOMING
-6344308317712319504,"3/18/23, 7:44 AM",INCOMING
3229803203732014744,"3/12/23, 7:53 PM",INCOMING
3707514319323137697,"3/5/23, 4:24 AM",INCOMING
3984494781177730564,"2/28/23, 1:59 PM",INCOMING
712307005141888746,"2/27/23, 9:59 PM",INCOMING
-8364212062002493279,"2/27/23, 9:16 AM",INCOMING
6444870321294657593,"2/25/23, 10:26 AM",INCOMING
-6910350165650554159,"2/23/23, 5:03 AM",INCOMING
8959579967082703869,"2/21/23, 11:16 PM",INCOMING
-2970160557985233496,"2/21/23, 1:59 PM",INCOMING
4389788208073088212,"2/21/23, 1:51 AM",INCOMING
-8703555238766708748,"2/19/23, 4:08 PM",INCOMING
3869249910898452388,"2/19/23, 4:03 PM",INCOMING
2463841258202843217,"2/18/23, 8:06 AM",INCOMING
-2846523430934368549,"2/17/23, 12:42 PM",INCOMING
8297713847715435245,"2/15/23, 3:20 AM",INCOMING
-4240349334500068556,"2/13/23, 11:01 AM",INCOMING
-4527957456104483600,"2/12/23, 10:29 AM",INCOMING
-6680132716072685023,"2/1/23, 7:01 AM",INCOMING
5292300154845432529,"1/31/23, 4:33 AM",INCOMING
4463463569413333202,"1/30/23, 5:01 PM",INCOMING
8858394689052516063,"1/30/23, 10:16 AM",INCOMING
2126014982220297026,"1/30/23, 6:05 AM",INCOMING
-1894143885730401328,"1/30/23, 5:15 AM",INCOMING
7176020794757543240,"1/27/23, 12:23 AM",INCOMING
8895466979812755573,"1/23/23, 1:21 AM",INCOMING
3372155751512338745,"1/22/23, 6:50 AM",INCOMING
-1954472510555957823,"1/20/23, 11:47 AM",INCOMING
6134389416883207144,"1/19/23, 8:51 PM",INCOMING
1517461082366681003,"1/17/23, 7:11 PM",INCOMING
-6332409836926825841,"1/17/23, 7:28 AM",INCOMING
1322601269640013574,"1/16/23, 8:34 PM",INCOMING
5848208985058022232,"1/16/23, 7:00 AM",INCOMING
-6883705572006237904,"1/15/23, 5:54 PM",INCOMING
6963389964966911155,"1/14/23, 9:07 AM",INCOMING
-6536789092560743458,"1/14/23, 12:31 AM",INCOMING
7467308592574760944,"1/13/23, 11:40 AM",INCOMING
8735240456658863052,"1/12/23, 10:07 PM",INCOMING
-3845210263226931236,"1/10/23, 9:50 PM",INCOMING
-8175375309027475602,"1/10/23, 5:21 AM",INCOMING
7571109513941292872,"1/8/23, 11:46 PM",INCOMING
-5835723059569465990,"1/8/23, 2:26 PM",INCOMING
-8764117175437520140,"1/7/23, 9:58 PM",INCOMING
